[16:55:25] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[16:55:34] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[16:55:45] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[16:55:48] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[16:55:50] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[16:56:07] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[16:56:07] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[18:05:37] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[18:17:39] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[18:17:53] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[18:18:15] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[18:45:02] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[19:09:09] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[19:10:24] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[19:10:24] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[19:10:33] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[19:10:34] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Take a photo, Handed order directly to customer]
[19:10:38] Screen 13 [No-contact delivery, Drop-off: Leave it at the door, Leave at my door: , Take a photo, Take a photo showing where you left the order. We'll share it with the customer., Include the surroundings and avoid glare, Complete delivery, Handed order directly to customer]
