[16:58:31] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 32, View order details]
[17:11:00] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 32, View order details]
[17:11:20] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 33, View order details]
[17:51:00] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 29, View order details]
[17:51:03] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 26, View order details]
[17:51:52] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 28, View order details]
[17:52:34] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 35, View order details]
[17:53:10] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 21, View order details]
[17:53:49] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 33, View order details]
[17:54:13] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 33, View order details]
[17:54:39] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 37%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 33, View order details]
[17:55:04] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 36%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 33, View order details]
[18:23:13] Screen 4 [#ff313131, Are you sure you want to decline this order?, After declining, 36%, Keep your Acceptance Rate above 70% to maintain Top Dasher status., Decline Order, Decline Order, 17, View order details]
